,Masked_sentences,Labels
268,"Thank you, God, Ávila thought [MASK] he turned back to the railing to accept the chalice.",as
269,"An instant later, [MASK] deafening explosion ripped through the pristine cathedral.",a
270,"In a flash of light, his entire world erupted [MASK] fire.",in
271,"The blast wave drove Ávila violently forward into the Communion rail, [MASK] body crushed by the scalding surge of debris and human body parts.",his
272,"When Ávila regained consciousness, he was unable to breathe in the thick smoke, and for a moment he [MASK] no idea where he was or what had happened.",had
273,"Then, above the ringing in [MASK] ears, he heard the anguished screams.",his
274,Ávila clambered to his [MASK] realizing with horror where he was.,"feet,"
275,[MASK] told himself this was all a terrible dream.,He
276,"He staggered back through the smoke-filled cathedral, clambering past moaning and mutilated victims, stumbling in desperation to [MASK] approximate area where his wife and son had been smiling only moments ago.",the
277,[MASK] was nothing there.,There
278,No [MASK],pews.
279,No people.Only [MASK] debris on the charred stone floor.,bloody
280,The grisly memory was mercifully shattered by the [MASK] of the jangling bar door.,chime
281,"Ávila seized his tónica and took a quick sip, shaking off the darkness as he had been [MASK] to do so many times before.",forced
282,"The bar door swung wide, [MASK] Ávila turned to see two burly men stumble in.",and
283,They were [MASK] an off-key Irish fight song and wearing green fútbol jerseys that strained to cover their bellies.,singing
284,"Apparently, this afternoon’s match had gone the way [MASK] Ireland’s visiting team.",of
285,"I’ll take that as my cue, Ávila [MASK] standing up.","thought,"
286,"He asked for [MASK] bill, but the barmaid winked and waved him off.",his
287,[MASK] thanked her and turned to go.,Ávila
288,"“Bloody hell!” one [MASK] the newcomers shouted, staring at Ávila’s stately uniform.",of
289,“It’s the king of Spain!” Both men erupted with [MASK] lurching toward him.,"laughter,"
290,"Ávila attempted to step around [MASK] and leave, but the larger man roughly grabbed his arm and pulled him back to a bar stool.",them
291,"[MASK] on, Your Highness!",“Hold
292,We came all the way to Spain; we’re gonna have a pint with the king!” Ávila eyed the man’s grubby hand on [MASK] freshly pressed sleeve.,his
293,“Let [MASK] he said quietly.,"go,”"
294,"“I need to leave.” “No…you need to stay for a beer, amigo.” The man tightened his grip as his friend started poking with a dirty finger [MASK] the medals on Ávila’s chest.",at
295,"“Looks like you’re quite a hero, Pops.” The man tugged on one of Ávila’s [MASK] prized emblems.",most
296,“A [MASK] mace?,medieval
297,"So, [MASK] a knight in shining armor?",you’re
298,!” He [MASK],guffawed.
299,"Tolerance, Ávila [MASK] himself.",reminded
300,"He had met countless men like these— simpleminded, [MASK] souls, who had never stood for anything, men who blindly abused the liberties and freedoms that others had fought to give them.",unhappy
301,"“Actually,” Ávila replied gently, “the mace is the [MASK] of the Spanish navy’s Unidad de Operaciones Especiales.” “Special ops?” The man feigned a fearful shudder.",symbol
302,“That’s [MASK] impressive.,very
303,And what [MASK] that symbol?” He pointed to Ávila’s right hand.,about
304,[MASK] glanced down at his palm.,Ávila
305,"In the center of the soft flesh was inscribed a [MASK] tattoo—a symbol that dated back to the fourteenth century.This marking serves as my protection, Ávila thought, eyeing the emblem.",black
306,Although I [MASK] not need it.,will
307,"“Never mind,” the hooligan said, finally letting go of Ávila’s arm and turning his attention to the [MASK]",barmaid.
308,"[MASK] a cute one,” he said.",“You’re
309,"“Are [MASK] a hundred percent Spanish?” “I am,” she answered graciously.",you
310,“You don’t have some Irish in you?” “No.” “Would [MASK] like some?” The man convulsed in hysterics and pounded the bar.,you
311,"“Leave her alone,” [MASK] commanded.",Ávila
312,"The man wheeled, glaring [MASK] him.",at
313,The [MASK] thug poked Ávila hard in the chest.,second
314,"“You trying to tell us what to do?” [MASK] took a deep breath, feeling tired after this day’s long journey, and he motioned to the bar.",Ávila
315,"“Gentlemen, please [MASK] down.",sit
316,"I’ll buy you a beer.” — I’m glad [MASK] staying, the barmaid thought.",he’s
317,"Although she could take care of herself, witnessing how calmly this officer was dealing with these [MASK] brutes had left her a little weak-kneed and hoping he might stay until closing time.",two
318,"The officer had ordered two beers, and another tonic water [MASK] himself, reclaiming his seat at the bar.",for
319,The two fútbol hooligans sat on either [MASK] of him.,side
320,[MASK] water?” one taunted.,“Tonic
321,[MASK] thought we were drinking together.” The officer gave the barmaid a tired smile and finished his tonic.,“I
322,"“I’m afraid I have an appointment,” [MASK] officer said, standing up.",the
323,"“But enjoy your beers.” As he stood, both men, as if [MASK] slammed rough hands on his shoulders and shoved him back onto the stool.","rehearsed,"
324,"A spark of anger flashed across the officer’s eyes and then disappeared.“Grandpa, I don’t think you want to leave us alone with your girlfriend here.” The thug looked at her and did something [MASK] with his tongue.",disgusting
325,"The officer sat quietly for a long moment, and then [MASK] into his jacket.",reached
326,Both [MASK] grabbed him.,guys
327,[MASK],“Hey!
328,[MASK] are you doing?,What
329,"!” Very slowly, the officer pulled out a cell [MASK] and said something to the men in Spanish.",phone
330,"They [MASK] at him uncomprehendingly, and he switched back to English.",stared
331,"“I’m sorry, I just need to call my wife and tell [MASK] I’ll be late.",her
332,"It looks [MASK] I’m going to be here awhile.” “Now you’re talking, mate!” the larger of the two said, draining his beer and slamming the glass down on the bar.",like
333,"“Another!” As the barmaid refilled the thugs’ glasses, she watched in the mirror [MASK] the officer touched a few keys on his phone and then held it to his ear.",as
334,"[MASK] call went through, and he spoke in rapid Spanish.",The
335,"“Le llamo desde el bar Molly Malone,” the officer said, reading the bar’s name and [MASK] off the coaster before him.",address
336,"“Calle [MASK] de Estraunza, ocho.” He waited a moment and then continued.",Particular
337,“Necesitamos [MASK] inmediatamente.,ayuda
338,Hay dos hombres heridos.” [MASK] he hung up.,Then
339,¿Dos [MASK] heridos?,hombres
340,The [MASK] pulse quickened.,barmaid’s
341,Two [MASK] men?,wounded
342,"Before she could process his meaning, there was a blur of white, and the officer spun to his right, sending an [MASK] smashing upward into the larger thug’s nose with a sickening crunch.",elbow
343,The man’s face erupted in [MASK] and he fell back.,red
344,"Before the second man could react, the officer spun again, this time to his left, his other elbow crashing hard into the man’s windpipe and sending him backward off [MASK] stool.",the
345,"The barmaid stared in shock at the [MASK] men on the floor, one screaming in agony, the other gasping and clutching his throat.",two
346,[MASK] officer stood slowly.,The
347,"With an eerie calm, he removed [MASK] wallet and placed a hundred-euro note on the bar.",his
348,"[MASK] apologies,” he said to her in Spanish.",“My
349,“The police [MASK] be here shortly to help you.” Then he turned and left.,will
350,"— Outside, Admiral Ávila inhaled the night air and made his way [MASK] Alameda de Mazarredo toward the river.",along
351,"Police sirens approached, and he slipped into the shadows to let the authorities [MASK]",pass.
352,There was serious work to [MASK] and Ávilacould not afford further complications tonight.,"do,"
353,[MASK] Regent clearly outlined tonight’s mission.,The
354,"For Ávila, there was a simple serenity [MASK] taking orders from the Regent.",in
355,No [MASK],decisions.
356,[MASK] culpability.,No
357,[MASK] action.,Just
358,"After a career of giving commands, it was [MASK] relief to relinquish the helm and let others steer this ship.",a
359,"In [MASK] war, I am a foot soldier.",this
360,"Several days ago, the Regent had shared with him a secret so disturbing that Ávila had seen no choice but to offer himself fully [MASK] the cause.",to
361,"The brutality of last night’s mission still haunted him, and yet he knew his actions would [MASK] forgiven.",be
362,[MASK] exists in many forms.,Righteousness
363,And more death will come before tonight [MASK] over.,is
364,"As [MASK] emerged into an open plaza on the riverbank, he raised his eyes to the massive structure before him.",Ávila
365,It was an undulating mess of perverse forms covered in metal tile—as if two [MASK] years of architectural progress had been tossed out the window in favor of total chaos.,thousand
366,[MASK] call this a museum.,Some
367,I call [MASK] a monstrosity.,it
368,"Focusing his thoughts, Ávila crossed the plaza, winding his way through a series of bizarre [MASK] outside Bilbao’s Guggenheim Museum.",sculptures
